,FG,distance,angle,area,ForceX,ForceY,ForceZ,TimeStamp
0,0,,,,12,18,18,0.0024688243865966797
1,0,,,,12,18,18,0.046712398529052734
2,0,,,,11,19,19,0.08762025833129883
3,0,,,,11,10,16,0.1333768367767334
4,0,,,,12,17,19,0.1777207851409912
5,0,,,,15,17,19,0.22099781036376953
6,0,,,,14,14,17,0.2633094787597656
7,0,,,,17,12,12,0.3046395778656006
8,0,,,,17,12,12,0.345963716506958
9,0,,,,12,17,18,0.38979101181030273
10,0,,,,12,10,13,0.43152856826782227
11,0,,,,13,13,15,0.4759387969970703
12,0,,,,16,13,13,0.5184652805328369
13,0,,,,12,18,11,0.5599234104156494
14,0,,,,18,13,17,0.6016848087310791
15,0,,,,18,13,17,0.6467747688293457
16,0,,,,12,13,10,0.6917524337768555
17,0,,,,14,19,13,0.735844612121582
18,0,,,,14,18,11,0.7807283401489258
19,0,,,,15,13,10,0.8234825134277344
20,0,,,,19,15,16,0.865703821182251
21,0,,,,17,15,19,0.9075403213500977
22,0,,,,12,11,15,0.9523530006408691
23,0,,,,12,11,15,0.9967763423919678
24,0,,,,11,12,14,1.0372390747070312
25,0,,,,18,13,17,1.0797085762023926
26,0,,,,19,12,14,1.1248807907104492
27,0,,,,17,18,13,1.1688368320465088
28,0,,,,15,16,10,1.2133989334106445
29,0,,,,19,12,18,1.2568020820617676
30,0,,,,19,12,18,1.2977049350738525
31,0,,,,12,19,12,1.3403003215789795
32,0,,,,11,19,17,1.3825404644012451
33,0,,,,17,13,15,1.426084280014038
34,0,,,,11,10,15,1.4700210094451904
35,0,,,,16,13,11,1.5126090049743652
36,0,,,,17,17,14,1.5568523406982422
37,0,,,,17,17,14,1.5996546745300293
38,0,,,,11,16,17,1.6422514915466309
39,0,,,,12,11,18,1.6841871738433838
40,0,,,,11,18,13,1.7257850170135498
41,0,,,,10,17,15,1.7668983936309814
42,0,,,,12,16,14,1.8108913898468018
43,0,,,,12,16,14,1.8525807857513428
44,0,,,,12,15,15,1.8948214054107666
45,0,,,,14,19,15,1.9350855350494385
46,0,,,,13,15,19,1.9802558422088623
47,0,,,,11,13,15,2.023148536682129
48,0,,,,10,18,16,2.0645666122436523
49,0,,,,10,18,16,2.1062235832214355
50,0,,,,13,11,17,2.148869276046753
51,0,,,,14,13,10,2.1902108192443848
52,0,,,,10,10,10,2.2329540252685547
53,0,,,,17,10,18,2.2777884006500244
54,0,,,,15,12,12,2.3217949867248535
55,0,,,,17,11,17,2.3648931980133057
56,0,,,,18,11,16,2.411588191986084
57,0,,,,18,11,16,2.4571261405944824
58,0,,,,10,10,19,2.5001461505889893
59,0,,,,18,15,11,2.5436298847198486
60,0,,,,15,10,17,2.5891973972320557
61,0,,,,18,14,16,2.632298469543457
62,0,,,,12,12,17,2.675018310546875
63,0,,,,17,19,17,2.7177793979644775
64,0,,,,13,15,13,2.7612383365631104
65,0,,,,13,15,13,2.8031511306762695
66,0,,,,11,11,13,2.849020481109619
67,0,,,,14,17,16,2.89197039604187
68,0,,,,12,13,11,2.934781551361084
69,0,,,,16,15,18,2.9799983501434326
70,0,,,,17,15,15,3.0220422744750977
71,0,,,,15,10,10,3.064026117324829
72,0,,,,15,10,10,3.105738639831543
73,0,,,,16,18,13,3.1450164318084717
74,0,,,,18,11,16,3.188051223754883
75,0,,,,19,16,18,3.2305679321289062
76,0,,,,14,15,18,3.273533582687378
77,0,,,,11,11,14,3.319648504257202
78,0,,,,17,14,15,3.3656721115112305
79,0,,,,17,14,15,3.4121246337890625
80,0,,,,16,10,16,3.456923246383667
81,0,,,,10,14,11,3.4976966381073
82,0,,,,14,18,16,3.540203809738159
83,0,,,,14,15,10,3.5819153785705566
84,0,,,,19,12,10,3.622546434402466
85,0,,,,19,12,10,3.665421962738037
86,0,,,,11,12,13,3.708735942840576
87,0,,,,14,16,11,3.7503292560577393
88,0,,,,16,15,13,3.790098190307617
89,0,,,,14,12,18,3.8340423107147217
90,0,,,,15,18,16,3.877397060394287
91,0,,,,16,16,17,3.920374870300293
92,0,,,,16,16,17,3.9656670093536377
93,0,,,,14,10,11,4.0084638595581055
94,0,,,,19,19,11,4.049659729003906
95,0,,,,18,11,19,4.091340780258179
96,0,,,,17,17,19,4.13641881942749
97,0,,,,12,17,17,4.182569742202759
98,0,,,,17,16,10,4.228436708450317
99,0,,,,12,12,16,4.271220445632935
100,0,,,,12,12,16,4.3145318031311035
101,0,,,,19,16,18,4.356928110122681
102,0,,,,14,10,15,4.397683620452881
103,0,,,,11,17,16,4.442136764526367
104,0,,,,19,11,18,4.484190940856934
105,0,,,,16,19,10,4.527108192443848
106,0,,,,17,10,19,4.572182893753052
107,0,,,,17,10,19,4.615053176879883
108,0,,,,13,14,19,4.661665678024292
109,0,,,,18,13,19,4.707128286361694
110,0,,,,11,16,15,4.750587224960327
111,0,,,,10,18,14,4.7970147132873535
112,0,,,,19,12,14,4.840963363647461
113,0,,,,15,18,16,4.880052328109741
114,0,,,,15,18,16,4.9216673374176025
115,0,,,,13,11,19,4.964893102645874
116,0,,,,12,13,18,5.006200075149536
117,0,,,,10,12,17,5.049307823181152
